Checking_account_status,Duration_months,Credit_history,Purpose,Credit_amount,Savings_account_or_bonds,Present_employment_since,Installment_rate,Personal_status,Other_debtors,Present_residence_since,Property,Age_years,Other_installment_plans,Housing,Number_existing_credits,Job,Number_people_liable,Telephone,Foreign_worker,Label
<0,24,existing_dues_cleared_for_now,car (new),1381,unknown_or_no_savings_account,1=<_and_<4,4,female-divorced/separated/married,none,2,building society/savings agreement/life insurance,35,none,own,1,skilled_employee/official,1,no,no,bad
no_checking_account,36,critical_account,car (used),5842,<100,>7,2,male-single,none,2,building society/savings agreement/life insurance,35,none,own,2,skilled_employee/official,2,yes,no,good
<0,12,existing_dues_cleared_for_now,car (new),2579,<100,<1,4,male-single,none,1,real_estate,33,none,own,1,unskilled-resident,2,no,no,bad
no_checking_account,21,existing_dues_cleared_for_now,car (new),2782,500=<_and_<1000,4=<_and_<7,1,female-divorced/separated/married,none,2,car or other,31,bank,own,1,management/self-employed/highly_qualified/officer,1,no,no,good
0=<_and_<200,18,existing_dues_cleared_for_now,car (new),1042,unknown_or_no_savings_account,1=<_and_<4,4,female-divorced/separated/married,none,2,building society/savings agreement/life insurance,33,none,own,1,skilled_employee/official,1,no,no,bad
no_checking_account,15,existing_dues_cleared_for_now,car (new),3186,>1000,4=<_and_<7,2,female-divorced/separated/married,none,3,car or other,20,none,rent,1,skilled_employee/official,1,no,no,good
0=<_and_<200,12,existing_dues_cleared_for_now,car (used),2028,unknown_or_no_savings_account,1=<_and_<4,4,male-single,none,2,car or other,30,none,own,1,skilled_employee/official,1,no,no,good
0=<_and_<200,12,critical_account,car (new),958,<100,4=<_and_<7,2,male-single,none,3,real_estate,47,none,own,2,unskilled-resident,2,no,no,good
no_checking_account,21,delay_in_paying_off,furniture/equipment,1591,100=<_and_<500,4=<_and_<7,4,male-single,none,3,real_estate,34,none,own,2,management/self-employed/highly_qualified/officer,1,no,no,good
0=<_and_<200,12,existing_dues_cleared_for_now,furniture/equipment,2762,unknown_or_no_savings_account,>7,1,female-divorced/separated/married,none,2,building society/savings agreement/life insurance,25,bank,own,1,skilled_employee/official,1,yes,no,bad
0=<_and_<200,18,existing_dues_cleared_for_now,car (used),2779,<100,1=<_and_<4,1,male-married/widowed,none,3,car or other,21,none,rent,1,skilled_employee/official,1,yes,no,good
no_checking_account,28,critical_account,radio/television,2743,<100,>7,4,male-single,none,2,car or other,29,none,own,2,skilled_employee/official,1,no,no,good
no_checking_account,9,existing_dues_cleared_for_now,furniture/equipment,1313,<100,>7,1,male-single,none,4,car or other,20,none,own,1,skilled_employee/official,1,no,no,good
<0,18,critical_account,repairs,1190,<100,unemployed,2,female-divorced/separated/married,none,4,unknown/no_property,55,none,for_free,3,unemployed/unskilled-non_resident,2,no,no,bad
no_checking_account,5,existing_dues_cleared_for_now,business,3448,<100,4=<_and_<7,1,male-single,none,4,real_estate,74,none,own,1,unskilled-resident,1,no,no,good
0=<_and_<200,24,existing_dues_cleared_for_now,others,11328,<100,1=<_and_<4,2,male-single,co-applicant,3,car or other,29,bank,own,2,management/self-employed/highly_qualified/officer,1,yes,no,bad
<0,6,critical_account,furniture/equipment,1872,<100,unemployed,4,male-single,none,4,unknown/no_property,36,none,for_free,3,management/self-employed/highly_qualified/officer,1,yes,no,good
no_checking_account,24,critical_account,repairs,2058,<100,1=<_and_<4,4,male-divorced/separated,none,2,real_estate,33,none,own,2,skilled_employee/official,1,yes,no,good
<0,9,existing_dues_cleared_for_now,furniture/equipment,2136,<100,1=<_and_<4,3,male-single,none,2,real_estate,25,none,own,1,skilled_employee/official,1,no,no,good
0=<_and_<200,12,existing_dues_cleared_for_now,radio/television,1484,unknown_or_no_savings_account,1=<_and_<4,2,male-married/widowed,none,1,real_estate,25,none,own,1,skilled_employee/official,1,yes,no,bad
no_checking_account,6,existing_dues_cleared_for_now,repairs,660,500=<_and_<1000,4=<_and_<7,2,male-married/widowed,none,4,real_estate,23,none,rent,1,unskilled-resident,1,no,no,good
no_checking_account,24,critical_account,car (new),1287,>1000,>7,4,female-divorced/separated/married,none,4,real_estate,37,none,own,2,skilled_employee/official,1,yes,no,good
<0,42,critical_account,repairs,3394,<100,unemployed,4,male-single,co-applicant,4,car or other,65,none,own,2,unemployed/unskilled-non_resident,1,no,no,good
>200,12,all_dues_atbank_cleared,business,609,<100,<1,4,female-divorced/separated/married,none,1,real_estate,26,none,own,1,unemployed/unskilled-non_resident,1,no,no,bad
no_checking_account,12,existing_dues_cleared_for_now,car (new),1884,<100,>7,4,male-single,none,4,car or other,39,none,own,1,management/self-employed/highly_qualified/officer,1,yes,no,good
<0,12,existing_dues_cleared_for_now,furniture/equipment,1620,<100,1=<_and_<4,2,female-divorced/separated/married,co-applicant,3,building society/savings agreement/life insurance,30,none,own,1,skilled_employee/official,1,no,no,good
0=<_and_<200,20,delay_in_paying_off,others,2629,<100,1=<_and_<4,2,male-single,none,3,car or other,29,bank,own,2,skilled_employee/official,1,yes,no,good
no_checking_account,12,existing_dues_cleared_for_now,education,719,<100,>7,4,male-single,none,4,car or other,41,bank,own,1,unskilled-resident,2,no,no,bad
0=<_and_<200,48,critical_account,furniture/equipment,5096,<100,1=<_and_<4,2,female-divorced/separated/married,none,3,car or other,30,none,own,1,management/self-employed/highly_qualified/officer,1,yes,no,bad
no_checking_account,9,critical_account,education,1244,unknown_or_no_savings_account,>7,4,female-divorced/separated/married,none,4,building society/savings agreement/life insurance,41,none,rent,2,unskilled-resident,1,no,no,good
<0,36,existing_dues_cleared_for_now,car (new),1842,<100,<1,4,female-divorced/separated/married,none,4,car or other,34,none,own,1,skilled_employee/official,1,yes,no,bad
>200,12,existing_dues_cleared_for_now,furniture/equipment,1424,unknown_or_no_savings_account,>7,3,female-divorced/separated/married,none,4,real_estate,55,none,own,1,management/self-employed/highly_qualified/officer,1,yes,no,good
no_checking_account,36,critical_account,car (used),11054,unknown_or_no_savings_account,1=<_and_<4,4,male-single,none,2,car or other,30,none,own,1,management/self-employed/highly_qualified/officer,1,yes,no,good
no_checking_account,6,existing_dues_cleared_for_now,radio/television,518,<100,1=<_and_<4,3,female-divorced/separated/married,none,1,real_estate,29,none,own,1,skilled_employee/official,1,no,no,good
no_checking_account,12,none_taken/all_dues_cleared,furniture/equipment,2759,<100,>7,2,male-single,none,4,building society/savings agreement/life insurance,34,none,own,2,skilled_employee/official,1,no,no,good
<0,24,existing_dues_cleared_for_now,car (new),4817,<100,4=<_and_<7,2,male-single,co-applicant,3,building society/savings agreement/life insurance,31,none,own,1,skilled_employee/official,1,yes,no,bad
no_checking_account,24,existing_dues_cleared_for_now,car (used),2679,<100,<1,4,female-divorced/separated/married,none,1,unknown/no_property,29,none,own,1,management/self-employed/highly_qualified/officer,1,yes,no,good
<0,12,existing_dues_cleared_for_now,car (used),3386,<100,>7,3,male-single,none,4,unknown/no_property,35,none,for_free,1,skilled_employee/official,1,yes,no,bad
<0,6,existing_dues_cleared_for_now,domestic appliances,343,<100,<1,4,female-divorced/separated/married,none,1,real_estate,27,none,own,1,skilled_employee/official,1,no,no,good
no_checking_account,18,existing_dues_cleared_for_now,radio/television,4594,<100,<1,3,male-single,none,2,car or other,32,none,own,1,skilled_employee/official,1,yes,no,good
<0,36,existing_dues_cleared_for_now,furniture/equipment,3620,<100,1=<_and_<4,1,male-single,guarantor,2,building society/savings agreement/life insurance,37,none,own,1,skilled_employee/official,2,no,no,good
<0,15,existing_dues_cleared_for_now,car (new),1721,<100,<1,2,male-single,none,3,real_estate,36,none,own,1,skilled_employee/official,1,no,no,good
0=<_and_<200,12,existing_dues_cleared_for_now,furniture/equipment,3017,<100,<1,3,female-divorced/separated/married,none,1,real_estate,34,none,rent,1,management/self-employed/highly_qualified/officer,1,no,no,good
0=<_and_<200,12,existing_dues_cleared_for_now,retraining,754,unknown_or_no_savings_account,>7,4,male-single,none,4,building society/savings agreement/life insurance,38,none,own,2,skilled_employee/official,1,no,no,good
no_checking_account,18,existing_dues_cleared_for_now,business,1950,<100,4=<_and_<7,4,male-single,none,1,car or other,34,stores,own,2,skilled_employee/official,1,yes,no,good
<0,24,existing_dues_cleared_for_now,car (used),2924,<100,1=<_and_<4,3,male-single,guarantor,4,unknown/no_property,63,bank,own,1,skilled_employee/official,2,yes,no,good
<0,24,delay_in_paying_off,radio/television,1659,<100,<1,4,female-divorced/separated/married,none,2,car or other,29,none,rent,1,unskilled-resident,1,yes,no,bad
no_checking_account,48,delay_in_paying_off,radio/television,7238,unknown_or_no_savings_account,>7,3,male-single,none,3,car or other,32,bank,own,2,skilled_employee/official,2,no,no,good
no_checking_account,24,delay_in_paying_off,car (used),4679,<100,4=<_and_<7,3,male-single,none,3,car or other,35,none,own,2,unskilled-resident,1,yes,no,good
0=<_and_<200,24,existing_dues_cleared_for_now,radio/television,3092,100=<_and_<500,<1,3,male-married/widowed,none,2,car or other,22,none,rent,1,skilled_employee/official,1,yes,no,bad
<0,9,existing_dues_cleared_for_now,car (new),654,<100,1=<_and_<4,4,male-single,none,3,car or other,28,none,own,1,unskilled-resident,1,no,no,bad
no_checking_account,6,existing_dues_cleared_for_now,retraining,1238,unknown_or_no_savings_account,unemployed,4,male-single,none,4,building society/savings agreement/life insurance,36,none,own,1,management/self-employed/highly_qualified/officer,2,yes,no,good
0=<_and_<200,18,critical_account,radio/television,1245,<100,1=<_and_<4,4,male-married/widowed,none,2,car or other,33,none,own,1,skilled_employee/official,1,no,no,bad
no_checking_account,39,existing_dues_cleared_for_now,car (used),2569,500=<_and_<1000,1=<_and_<4,4,male-single,none,4,car or other,24,none,own,1,skilled_employee/official,1,no,no,good
0=<_and_<200,12,existing_dues_cleared_for_now,business,1037,100=<_and_<500,4=<_and_<7,3,male-single,none,4,real_estate,39,none,own,1,unskilled-resident,1,no,no,good
<0,15,critical_account,furniture/equipment,1478,<100,>7,4,male-single,none,4,car or other,44,none,own,2,skilled_employee/official,2,yes,no,good
0=<_and_<200,12,critical_account,radio/television,3573,<100,1=<_and_<4,1,female-divorced/separated/married,none,1,real_estate,23,none,own,1,unskilled-resident,1,no,no,good
<0,30,existing_dues_cleared_for_now,furniture/equipment,3622,>1000,>7,4,female-divorced/separated/married,none,4,building society/savings agreement/life insurance,57,none,rent,2,skilled_employee/official,1,yes,no,good
no_checking_account,15,delay_in_paying_off,furniture/equipment,960,>1000,4=<_and_<7,3,female-divorced/separated/married,none,2,building society/savings agreement/life insurance,30,none,own,2,skilled_employee/official,1,no,no,good
no_checking_account,12,critical_account,car (new),1163,500=<_and_<1000,1=<_and_<4,4,male-single,none,4,real_estate,44,none,own,1,skilled_employee/official,1,yes,no,good
no_checking_account,24,existing_dues_cleared_for_now,car (new),3757,<100,>7,4,female-divorced/separated/married,co-applicant,4,unknown/no_property,62,none,for_free,1,skilled_employee/official,1,yes,no,good
no_checking_account,10,existing_dues_cleared_for_now,car (new),1418,100=<_and_<500,1=<_and_<4,3,male-single,none,2,real_estate,35,none,rent,1,unskilled-resident,1,no,yes,good
no_checking_account,6,existing_dues_cleared_for_now,car (new),3518,<100,1=<_and_<4,2,male-single,guarantor,3,building society/savings agreement/life insurance,26,none,rent,1,skilled_employee/official,1,no,no,good
no_checking_account,12,critical_account,radio/television,1934,<100,>7,2,male-single,none,2,unknown/no_property,26,none,own,2,skilled_employee/official,1,no,no,good
0=<_and_<200,27,none_taken/all_dues_cleared,business,8318,<100,>7,2,female-divorced/separated/married,none,4,unknown/no_property,42,none,for_free,2,management/self-employed/highly_qualified/officer,1,yes,no,bad
no_checking_account,6,critical_account,radio/television,1237,100=<_and_<500,1=<_and_<4,1,female-divorced/separated/married,none,1,building society/savings agreement/life insurance,27,none,own,2,skilled_employee/official,1,no,no,good
0=<_and_<200,6,existing_dues_cleared_for_now,radio/television,368,unknown_or_no_savings_account,>7,4,male-single,none,4,building society/savings agreement/life insurance,38,none,own,1,skilled_employee/official,1,no,no,good
<0,12,critical_account,car (new),2122,<100,1=<_and_<4,3,male-single,none,2,real_estate,39,none,rent,2,unskilled-resident,2,no,yes,good
<0,24,existing_dues_cleared_for_now,furniture/equipment,2996,unknown_or_no_savings_account,1=<_and_<4,2,male-married/widowed,none,4,car or other,20,none,own,1,skilled_employee/official,1,no,no,bad
0=<_and_<200,36,existing_dues_cleared_for_now,furniture/equipment,9034,100=<_and_<500,<1,4,male-single,co-applicant,1,unknown/no_property,29,none,rent,1,management/self-employed/highly_qualified/officer,1,yes,no,bad
no_checking_account,24,critical_account,furniture/equipment,1585,<100,4=<_and_<7,4,male-single,none,3,building society/savings agreement/life insurance,40,none,own,2,skilled_employee/official,1,no,no,good
0=<_and_<200,18,existing_dues_cleared_for_now,radio/television,1301,<100,>7,4,male-married/widowed,guarantor,2,real_estate,32,none,own,1,unskilled-resident,1,no,no,good
<0,24,existing_dues_cleared_for_now,car (new),3123,<100,<1,4,female-divorced/separated/married,none,1,building society/savings agreement/life insurance,27,none,own,1,skilled_employee/official,1,no,no,bad
<0,36,existing_dues_cleared_for_now,car (used),5493,<100,>7,2,male-single,none,4,unknown/no_property,42,none,for_free,1,skilled_employee/official,2,no,no,good
>200,9,existing_dues_cleared_for_now,radio/television,1126,100=<_and_<500,>7,2,male-divorced/separated,none,4,real_estate,49,none,own,1,skilled_employee/official,1,no,no,good
0=<_and_<200,24,critical_account,radio/television,1216,100=<_and_<500,<1,4,male-single,none,4,unknown/no_property,38,bank,own,2,skilled_employee/official,2,no,no,bad
<0,24,existing_dues_cleared_for_now,car (new),1207,<100,<1,4,female-divorced/separated/married,none,4,building society/savings agreement/life insurance,24,none,rent,1,skilled_employee/official,1,no,no,bad
>200,15,critical_account,car (used),2360,500=<_and_<1000,1=<_and_<4,2,male-single,none,2,car or other,36,none,own,1,skilled_employee/official,1,yes,no,good
no_checking_account,24,existing_dues_cleared_for_now,radio/television,1413,<100,1=<_and_<4,4,male-married/widowed,none,2,building society/savings agreement/life insurance,28,none,own,1,skilled_employee/official,1,no,no,good
no_checking_account,39,existing_dues_cleared_for_now,car (used),8588,100=<_and_<500,>7,4,male-single,none,2,car or other,45,none,own,1,management/self-employed/highly_qualified/officer,1,yes,no,good
<0,12,existing_dues_cleared_for_now,car (new),759,<100,4=<_and_<7,4,male-single,none,2,real_estate,26,none,own,1,skilled_employee/official,1,no,no,bad
no_checking_account,36,existing_dues_cleared_for_now,car (used),4686,<100,1=<_and_<4,2,male-single,none,2,unknown/no_property,32,none,for_free,1,management/self-employed/highly_qualified/officer,1,yes,no,good
>200,15,existing_dues_cleared_for_now,business,2687,<100,4=<_and_<7,2,male-single,none,4,building society/savings agreement/life insurance,26,none,rent,1,skilled_employee/official,1,yes,no,good
no_checking_account,24,existing_dues_cleared_for_now,car (new),2255,unknown_or_no_savings_account,<1,4,male-single,none,1,building society/savings agreement/life insurance,54,none,own,1,skilled_employee/official,1,no,no,good
<0,6,critical_account,car (new),1361,<100,<1,2,male-single,none,4,real_estate,40,none,own,1,unskilled-resident,2,no,yes,good
no_checking_account,36,critical_account,furniture/equipment,7127,<100,<1,2,female-divorced/separated/married,none,4,building society/savings agreement/life insurance,23,none,rent,2,skilled_employee/official,1,yes,no,bad
<0,6,existing_dues_cleared_for_now,car (new),1203,100=<_and_<500,>7,3,male-single,none,2,building society/savings agreement/life insurance,43,none,own,1,skilled_employee/official,1,yes,no,good
no_checking_account,6,critical_account,radio/television,700,unknown_or_no_savings_account,>7,4,male-single,none,4,unknown/no_property,36,none,for_free,2,skilled_employee/official,1,no,no,good
<0,18,existing_dues_cleared_for_now,radio/television,3190,<100,1=<_and_<4,2,female-divorced/separated/married,none,2,real_estate,24,none,own,1,skilled_employee/official,1,no,no,bad
<0,48,none_taken/all_dues_cleared,furniture/equipment,7119,<100,1=<_and_<4,3,male-single,none,4,unknown/no_property,53,none,for_free,2,skilled_employee/official,2,no,no,bad
0=<_and_<200,18,existing_dues_cleared_for_now,radio/television,1113,<100,1=<_and_<4,4,female-divorced/separated/married,guarantor,4,real_estate,26,none,own,1,unskilled-resident,2,no,no,good
0=<_and_<200,26,existing_dues_cleared_for_now,car (used),7966,<100,<1,2,male-single,none,3,car or other,30,none,own,2,skilled_employee/official,1,no,no,good
no_checking_account,4,critical_account,radio/television,1503,<100,4=<_and_<7,2,male-single,none,1,real_estate,42,none,own,2,unskilled-resident,2,no,no,good
<0,36,existing_dues_cleared_for_now,radio/television,2302,<100,1=<_and_<4,4,male-divorced/separated,none,4,car or other,31,none,rent,1,skilled_employee/official,1,no,no,bad
<0,6,existing_dues_cleared_for_now,car (new),662,<100,<1,3,male-single,none,4,real_estate,41,none,own,1,unskilled-resident,2,yes,no,good
0=<_and_<200,36,existing_dues_cleared_for_now,education,2273,<100,4=<_and_<7,3,male-single,none,1,car or other,32,none,own,2,skilled_employee/official,2,no,no,good
0=<_and_<200,15,existing_dues_cleared_for_now,car (new),2631,100=<_and_<500,1=<_and_<4,2,female-divorced/separated/married,none,4,car or other,28,none,rent,2,skilled_employee/official,1,yes,no,bad
no_checking_account,12,delay_in_paying_off,car (used),1503,<100,1=<_and_<4,4,male-married/widowed,none,4,real_estate,41,none,rent,1,skilled_employee/official,1,no,no,good
no_checking_account,24,existing_dues_cleared_for_now,radio/television,1311,100=<_and_<500,4=<_and_<7,4,male-married/widowed,none,3,building society/savings agreement/life insurance,26,none,own,1,skilled_employee/official,1,yes,no,good
no_checking_account,24,existing_dues_cleared_for_now,radio/television,3105,unknown_or_no_savings_account,<1,4,male-single,none,2,car or other,25,none,own,2,skilled_employee/official,1,no,no,good
>200,21,critical_account,education,2319,<100,<1,2,male-divorced/separated,none,1,car or other,33,none,rent,1,skilled_employee/official,1,no,no,bad
<0,6,existing_dues_cleared_for_now,car (new),1374,unknown_or_no_savings_account,unemployed,4,female-divorced/separated/married,none,3,building society/savings agreement/life insurance,75,none,own,1,management/self-employed/highly_qualified/officer,1,yes,no,good
0=<_and_<200,18,critical_account,furniture/equipment,3612,<100,>7,3,female-divorced/separated/married,none,4,building society/savings agreement/life insurance,37,none,own,1,skilled_employee/official,1,yes,no,good
>200,18,existing_dues_cleared_for_now,furniture/equipment,3049,<100,<1,1,female-divorced/separated/married,none,1,building society/savings agreement/life insurance,45,stores,own,1,unskilled-resident,1,no,no,good
0=<_and_<200,12,existing_dues_cleared_for_now,radio/television,1534,<100,<1,1,male-married/widowed,none,1,real_estate,23,none,rent,1,skilled_employee/official,1,no,no,bad
<0,30,existing_dues_cleared_for_now,furniture/equipment,6350,unknown_or_no_savings_account,>7,4,male-single,none,4,building society/savings agreement/life insurance,31,none,own,1,skilled_employee/official,1,no,no,bad
>200,18,existing_dues_cleared_for_now,furniture/equipment,2864,<100,1=<_and_<4,2,male-single,none,1,real_estate,34,none,own,1,unskilled-resident,2,no,no,bad
no_checking_account,12,critical_account,car (new),1255,<100,>7,4,male-single,none,4,real_estate,61,none,own,2,unskilled-resident,1,no,no,good
no_checking_account,24,critical_account,car (new),2022,<100,1=<_and_<4,4,female-divorced/separated/married,none,4,car or other,37,none,own,1,skilled_employee/official,1,yes,no,good
<0,12,all_dues_atbank_cleared,radio/television,626,<100,1=<_and_<4,4,female-divorced/separated/married,none,4,real_estate,24,bank,own,1,unskilled-resident,1,no,no,bad
no_checking_account,48,critical_account,car (used),8858,unknown_or_no_savings_account,4=<_and_<7,2,male-single,none,1,unknown/no_property,35,none,for_free,2,skilled_employee/official,1,yes,no,good
no_checking_account,12,critical_account,repairs,996,unknown_or_no_savings_account,4=<_and_<7,4,female-divorced/separated/married,none,4,real_estate,23,none,own,2,skilled_employee/official,1,no,no,good
<0,48,existing_dues_cleared_for_now,radio/television,6999,<100,4=<_and_<7,1,male-married/widowed,guarantor,1,real_estate,34,none,own,2,skilled_employee/official,1,yes,no,bad
0=<_and_<200,12,critical_account,car (new),1995,100=<_and_<500,<1,4,male-single,none,1,car or other,27,none,own,1,skilled_employee/official,1,no,no,good
0=<_and_<200,9,existing_dues_cleared_for_now,education,1199,<100,4=<_and_<7,4,female-divorced/separated/married,none,4,building society/savings agreement/life insurance,67,none,own,2,management/self-employed/highly_qualified/officer,1,yes,no,good
0=<_and_<200,12,existing_dues_cleared_for_now,radio/television,1331,<100,<1,2,male-single,none,1,car or other,22,stores,own,1,skilled_employee/official,1,no,no,bad
no_checking_account,21,none_taken/all_dues_cleared,car (new),5003,unknown_or_no_savings_account,1=<_and_<4,1,female-divorced/separated/married,none,4,building society/savings agreement/life insurance,29,bank,own,2,skilled_employee/official,1,yes,no,bad
<0,24,all_dues_atbank_cleared,furniture/equipment,3552,<100,4=<_and_<7,3,male-single,none,4,car or other,27,bank,own,1,skilled_employee/official,1,no,no,bad
<0,24,existing_dues_cleared_for_now,car (used),2964,unknown_or_no_savings_account,>7,4,male-single,none,4,unknown/no_property,49,bank,for_free,1,skilled_employee/official,2,yes,no,good
<0,24,all_dues_atbank_cleared,radio/television,1546,<100,4=<_and_<7,4,male-single,guarantor,4,car or other,24,bank,rent,1,unskilled-resident,1,no,no,bad
>200,6,delay_in_paying_off,radio/television,683,<100,<1,2,female-divorced/separated/married,none,1,building society/savings agreement/life insurance,29,bank,own,1,skilled_employee/official,1,no,no,good
0=<_and_<200,36,existing_dues_cleared_for_now,car (new),12389,unknown_or_no_savings_account,1=<_and_<4,1,male-single,none,4,unknown/no_property,37,none,for_free,1,skilled_employee/official,1,yes,no,bad
0=<_and_<200,24,delay_in_paying_off,business,4712,unknown_or_no_savings_account,1=<_and_<4,4,male-single,none,2,building society/savings agreement/life insurance,37,bank,own,2,management/self-employed/highly_qualified/officer,1,yes,no,good
0=<_and_<200,24,delay_in_paying_off,radio/television,1553,100=<_and_<500,4=<_and_<7,3,female-divorced/separated/married,none,2,building society/savings agreement/life insurance,23,none,rent,2,skilled_employee/official,1,yes,no,good
no_checking_account,24,critical_account,radio/television,2578,>1000,>7,2,male-single,none,2,car or other,34,none,own,1,skilled_employee/official,1,no,no,good
0=<_and_<200,48,existing_dues_cleared_for_now,radio/television,3979,unknown_or_no_savings_account,4=<_and_<7,4,male-single,none,1,car or other,41,none,own,2,skilled_employee/official,2,yes,no,good
<0,48,existing_dues_cleared_for_now,radio/television,6758,<100,1=<_and_<4,3,female-divorced/separated/married,none,2,car or other,31,none,own,1,skilled_employee/official,1,yes,no,bad
<0,24,existing_dues_cleared_for_now,furniture/equipment,3234,<100,<1,4,female-divorced/separated/married,none,4,real_estate,23,none,rent,1,unskilled-resident,1,yes,no,bad
no_checking_account,30,critical_account,radio/television,5954,<100,4=<_and_<7,3,male-single,co-applicant,2,car or other,38,none,own,1,skilled_employee/official,1,no,no,good
no_checking_account,24,existing_dues_cleared_for_now,car (used),5433,unknown_or_no_savings_account,unemployed,2,female-divorced/separated/married,none,4,building society/savings agreement/life insurance,26,none,rent,1,management/self-employed/highly_qualified/officer,1,yes,no,good
<0,15,existing_dues_cleared_for_now,business,806,<100,1=<_and_<4,4,female-divorced/separated/married,none,4,building society/savings agreement/life insurance,22,none,own,1,unskilled-resident,1,no,no,good
0=<_and_<200,9,existing_dues_cleared_for_now,radio/television,1082,<100,>7,4,male-single,none,4,car or other,27,none,own,2,unskilled-resident,1,no,no,good
no_checking_account,15,critical_account,furniture/equipment,2788,<100,4=<_and_<7,2,female-divorced/separated/married,co-applicant,3,car or other,24,bank,own,2,skilled_employee/official,1,no,no,good
0=<_and_<200,12,existing_dues_cleared_for_now,radio/television,2930,<100,4=<_and_<7,2,female-divorced/separated/married,none,1,real_estate,27,none,own,1,skilled_employee/official,1,no,no,good
no_checking_account,24,critical_account,education,1927,unknown_or_no_savings_account,1=<_and_<4,3,female-divorced/separated/married,none,2,car or other,33,none,own,2,skilled_employee/official,1,yes,no,good
no_checking_account,24,existing_dues_cleared_for_now,retraining,937,<100,<1,4,male-married/widowed,none,3,car or other,27,none,own,2,unskilled-resident,1,no,no,good
0=<_and_<200,18,critical_account,car (new),1056,<100,>7,3,male-single,guarantor,3,real_estate,30,bank,own,2,skilled_employee/official,1,no,no,bad
0=<_and_<200,12,critical_account,car (new),3124,<100,<1,1,male-single,none,3,real_estate,49,bank,own,2,unskilled-resident,2,no,no,good
no_checking_account,9,existing_dues_cleared_for_now,furniture/equipment,1388,<100,1=<_and_<4,4,female-divorced/separated/married,none,2,real_estate,26,none,rent,1,skilled_employee/official,1,no,no,good
<0,18,existing_dues_cleared_for_now,furniture/equipment,2039,<100,1=<_and_<4,1,female-divorced/separated/married,none,4,real_estate,20,bank,rent,1,skilled_employee/official,1,no,no,bad
<0,9,critical_account,car (new),2799,<100,1=<_and_<4,2,male-single,none,2,real_estate,36,none,rent,2,skilled_employee/official,2,no,no,good
<0,12,existing_dues_cleared_for_now,furniture/equipment,1289,<100,1=<_and_<4,4,male-single,guarantor,1,building society/savings agreement/life insurance,21,none,own,1,unskilled-resident,1,no,no,good
<0,18,existing_dues_cleared_for_now,domestic appliances,1217,<100,1=<_and_<4,4,male-married/widowed,none,3,real_estate,47,none,own,1,unskilled-resident,1,yes,no,bad
<0,12,critical_account,furniture/equipment,2246,<100,>7,3,male-single,none,3,building society/savings agreement/life insurance,60,none,own,2,skilled_employee/official,1,no,no,bad
<0,12,critical_account,radio/television,385,<100,4=<_and_<7,4,female-divorced/separated/married,none,3,real_estate,58,none,own,4,unskilled-resident,1,yes,no,good
0=<_and_<200,24,delay_in_paying_off,car (new),1965,unknown_or_no_savings_account,1=<_and_<4,4,female-divorced/separated/married,none,4,car or other,42,none,rent,2,skilled_employee/official,1,yes,no,good
no_checking_account,21,existing_dues_cleared_for_now,business,1572,>1000,>7,4,female-divorced/separated/married,none,4,real_estate,36,bank,own,1,unskilled-resident,1,no,no,good
0=<_and_<200,24,existing_dues_cleared_for_now,car (new),2718,<100,1=<_and_<4,3,female-divorced/separated/married,none,4,building society/savings agreement/life insurance,20,none,rent,1,unskilled-resident,1,yes,no,bad
0=<_and_<200,6,all_dues_atbank_cleared,car (new),931,100=<_and_<500,<1,1,female-divorced/separated/married,none,1,building society/savings agreement/life insurance,32,stores,own,1,unskilled-resident,1,no,no,bad
<0,24,existing_dues_cleared_for_now,car (new),1442,<100,4=<_and_<7,4,female-divorced/separated/married,none,4,car or other,23,none,rent,2,skilled_employee/official,1,no,no,bad
0=<_and_<200,24,none_taken/all_dues_cleared,business,4241,<100,1=<_and_<4,1,male-single,none,4,real_estate,36,none,own,3,unskilled-resident,1,yes,no,bad
no_checking_account,18,critical_account,car (new),2775,<100,4=<_and_<7,2,male-single,none,2,building society/savings agreement/life insurance,31,bank,own,2,skilled_employee/official,1,no,no,bad
no_checking_account,24,delay_in_paying_off,business,3863,<100,1=<_and_<4,1,male-single,none,2,unknown/no_property,32,none,for_free,1,skilled_employee/official,1,no,no,good
0=<_and_<200,7,existing_dues_cleared_for_now,radio/television,2329,<100,<1,1,female-divorced/separated/married,guarantor,1,real_estate,45,none,own,1,skilled_employee/official,1,no,no,good
0=<_and_<200,24,all_dues_atbank_cleared,education,1837,<100,4=<_and_<7,4,female-divorced/separated/married,none,4,unknown/no_property,34,bank,for_free,1,unskilled-resident,1,no,no,bad
no_checking_account,36,existing_dues_cleared_for_now,furniture/equipment,3349,<100,1=<_and_<4,4,female-divorced/separated/married,none,2,car or other,28,none,own,1,management/self-employed/highly_qualified/officer,1,yes,no,bad
>200,10,existing_dues_cleared_for_now,furniture/equipment,1275,<100,<1,4,female-divorced/separated/married,none,2,building society/savings agreement/life insurance,23,none,own,1,skilled_employee/official,1,no,no,good
<0,24,all_dues_atbank_cleared,furniture/equipment,2828,500=<_and_<1000,1=<_and_<4,4,male-single,none,4,real_estate,22,stores,own,1,skilled_employee/official,1,yes,no,good
no_checking_account,24,critical_account,business,4526,<100,1=<_and_<4,3,male-single,none,2,real_estate,74,none,own,1,management/self-employed/highly_qualified/officer,1,yes,no,good
